id;k_eoi_code;k_airbase_code;k_network_id;k_local_code;k_name;k_start_date;k_stop_date;latitude;longitude;altitude;aq_stationclassification;aq_areaclassification;k_char_of_zone;k_ozone_classification;k_main_emission_source;k_city;k_city_population;k_street_name;k_report
1;RS1002A;RS0034A;1;0001;Kikinda Centar;2010-02-01;;45.821483;20.454008;78;background;urban;residential;suburban;Agriculture;Kikinda;38;Svetosavska bb;t
2;RS1007A;RS0029A;1;1007;Novi Sad SPENS;2015-06-08;;45.245065;19.84119;78;traffic;urban;residential/commercial;;;Novi Sad;342;Bulevar oslobodjenja;t
3;RS1008A;RS0031A;1;1008;Novi Sad Liman;2015-06-01;;45.238642;19.835704;81;background;urban;residential;urban;;Novi Sad ;342;Narodnog fronta 45;t
4;RS1009A;RS0001A;1;1009;Beočin Centar;2015-07-02;;45.208386;19.721709;87;background;urban;residential/industrial;;;Beočin;15;Kralja Petra bb;t
5;RS1010A;RS1010A;1;1010;Sremska Mitrovica;2015-07-02;;44.972185;19.609349;82;traffic;urban;residential/commercial;;;Sremska Mitrovica;86;;t
6;RS1014A;RS0035A;1;1014A;Pančevo Sodara;2015-07-02;;44.862975;20.64429;80;industrial;urban;residential;;;Pančevo ;123;Naselje sodara;t
7;RS1018A;RS0032A;1;1018A;Beograd Stari grad;2015-07-02;;44.82112;20.459113;103;background;urban;residential/commercial;urban;;Beograd ;1659;Visnjiceva 7a;t
8;RS1019A;RS1019A;1;1019A;Beograd Pančevački most;2009-04-13;;44.817608;20.486829;94;traffic;urban;commercial/industrial;;;Beograd;1659;Bulevar despota Stefana;t
9;RS1023A;RS0036A;1;1023A;Beograd Novi Beograd;2015-07-02;;44.803179;20.400152;74;background;urban;residential/commercial;urban;;Beograd;1659;Omladinskih brigada 35;t
10;RS1025A;RS0028A;1;1025A;Beograd Mostar;2015-07-02;;44.798746;20.450184;83;traffic;urban;residential/commercial;urban;;Beograd;1659;Mostarska petlja bb;t
11;RS1026A;RS0037A;1;1026A;Beograd Vračar;2015-07-02;;44.796959;20.475288;141;background;urban;residential/commercial;;;Beograd;1659;Orlovića Pavla 17;t
12;RS1027A;RS1027A;1;1027A;Beograd Zeleno brdo;2008-11-17;;44.786488;20.521715;240;background;suburban;residential;suburban;;Beograd;1659;Ruže Jovanovića 27a;t
13;RS1028A;RS1028A;1;1028A;Šabac;2015-07-02;;44.749781;19.693917;79;background;suburban;residential;;;Šabac;122;Popa Karana 2;t
14;RS1030A;RS0038A;1;1030A;Kostolac;2015-07-02;;44.71749;21.173399;75;background;suburban;industrial;;;Kostolac;13;MZ Kostolac;t
15;RS1032A;RS1032A;1;1032A;Smederevo Centar;2015-07-02;;44.664084;20.926729;79;background;urban;residential/commercial;;;Smederevo;110;Vojvode Đuše bb;t
16;RS1033A;RS1033A;1;1033A;Obrenovac Centar;2015-07-02;;44.659478;20.204496;76;traffic;suburban;residential/commercial;;;Obrenovac;25;Kralja Aleksandra;t
17;RS1034A;RS0039A;1;1034;Smederevo Carina;2015-07-02;;44.652336;20.931675;147;background;suburban;residential;;;Smederevo;110;Branka Krsmanovića bb;t
18;RS1036A;RS1036A;1;1036A;Smederevo Radinac;2015-07-02;;44.618723;20.968773;82;industrial;suburban;residential/industrial;;;Smederevo;110;Dvorište crkve;f
19;RS1037A;RS1037A;1;1037A;Smederevo Ralja;2015-07-02;;44.593587;20.971308;83;industrial;suburban;residential/industrial;;;Smederevo;110;Dvorište ambulante i škole;f
20;RS1038A;RS0040A;1;1038A;Loznica;2015-07-02;;44.53224;19.214534;122;background;urban;residential/commercial;;;Loznica;86;Slobodana Penezića;t
21;RS1039A;RS1039A;1;1039A;Zajača;2015-07-02;;44.492586962886;19.2425537109375;;industrial;rural;agricultural/natural;;;Zajača;;;f
22;RS1041A;RS0041A;1;1041A;Valjevo;2015-07-02;;44.273049;19.899006;181;traffic;urban;residential/commercial;;;Valjevo;90;Vladike Nikolaja bb;t
